Source,Harga lama,Harga baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Referensi/Referensi-Umum/150644-Aspek-Kesastraan-Panji-Angreni-Edisi-Revisi.html,Rp 75.000,Rp 63.750,Aspek Kesastraan Panji Angreni Edisi Revisi,9789791012584,Wedatama Widya Sastra ,Juni - 2017,-,450 gr,Soft Cover,-,Referensi Umum,-,Indonesia ··
https://www.bukukita.com/katalogbukuatribut.php?atrId=3&page=1,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Islam/156993-Jilbab-Pakaian-Wanita-Muslimah-Edisi-Terbaru.html,Rp 75.000,Rp 63.750,Jilbab Pakaian Wanita Muslimah - Edisi Terbaru,9786027720763,Lentera Hati ,Mei - 2018,-,200 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Sejarah-Indonesia/161897-Pribadi-Muhammad-Hard-Cover.html,Rp 110.000,Rp 93.500,Pribadi Muhammad - Hard Cover,9786026577481,Alvabet ,Januari - 2019,388,600 gr,Hard Cover,-,Sejarah Indonesia,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/140082-Pengantin-Al-Quran-:-8-Nasehat-Perkawinan-Untuk-Anak-anakku.html,Rp 120.000,Rp 102.000,Pengantin Al-Quran : 8 Nasehat Perkawinan Untuk Anak-anakku,9786027720381,Lentera Hati ,Januari - 2016,-,400 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Ekonomi-dan-Manajemen/Bisnis-Investasi/169518-Billion-Dollar-Secret:-20-Prinsip-Rahasia-Para-Miliarder.html,Rp 125.000,Rp 106.250,Billion Dollar Secret: 20 Prinsip Rahasia Para Miliarder,9786237162995,Gemilang ,November - 2022,448,500 gr,Soft Cover,-,Bisnis-Investasi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/125906-Pahamilah-Firman-Firman-Ku.html,Rp 49.500,Rp 42.075,Pahamilah Firman-Firman-Ku,9786029574180,Pustaka Al-Fadhilah ,Juni - 2014,-,260 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/122355-Inspirational-Moments.html,Rp 35.000,Rp 28.000,Inspirational Moments,9786021526156,Diandra Primamitra ,Januari - 2014,-,200 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Hobi-dan-Usaha/Adult-Coloring/148104-Coloring-For-Hidden-Words.html,Rp 65.000,Rp 55.250,Coloring For Hidden Words,9786023080618,Kurniaesa ,Desember - 2016,-,350 gr,Soft Cover,-,Adult Coloring,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/113580-Mengarungi-Samudera-Ibadah.html,Rp 54.000,Rp 45.900,Mengarungi Samudera Ibadah (2013),9789791096881,Pustaka Hidayah ,2013,-,300 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/155367-Misteri-Kehidupan-Alam-Barzakh.html,Rp 54.500,Rp 46.325,Misteri Kehidupan Alam Barzakh,9786025469657,Anak Hebat Indonesia ,Februari - 2018,252,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/113603-Kepribadian-Rasulullah.html,Rp 85.000,Rp 72.250,Kepribadian Rasulullah,9786029919998,Khatulistiwa Press ,2013,-,350 gr,Hard Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Sekolah/Penunjang-Pelajaran/146049-Soal-Soal-Ulangan-Kelas-6-SD.html,Rp 45.000,Rp 38.250,Soal-Soal Ulangan Kelas 6 SD,9786023080182,Kurniaesa ,September - 2016,-,350 gr,Soft Cover,-,Penunjang Pelajaran,-,Indonesia ··
https://www.bukukita.com/Anak-Anak/Pendidikan-Anak/135746-Buku-Aktivitas-PG-PAUD-semester-2.html,Rp 19.000,Rp 16.150,Buku Aktivitas PG/PAUD semester 2,9786029237146,Happy Holy Kids ,Juni - 2015,-,150 gr,Soft Cover,-,Pendidikan Anak,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Komedi/81958-Emak2-Fesbuker-Mencari-Cinta.html,Rp 40.000,Rp 34.000,Emak2 Fesbuker Mencari Cinta,9786028597425,Leutika ,Juli - 2010,228,200 gr,Soft Cover,-,Komedi,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/114114-Amplop-Rezeki.html,Rp 54.500,Rp 46.325,Amplop Rezeki,9789793862811,Al Mawardi ,Mei - 2013,-,350 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Fantasi/56061-Turquoise-:-Kisah-Sang-Singa-Perkasa-Dari-Kohina.html,Rp 59.000,Rp 50.150,Turquoise : Kisah Sang Singa Perkasa Dari Kohina ,9789791394024,Escaeva ,November - 2007,-,450 gr,Soft Cover,-,Fantasi,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Suspense/78797-Kemamang.html,Rp 75.000,Rp 63.750,Kemamang,-,Kurniaesa ,April - 2010,-,500 gr,Soft Cover,-,Suspense,-,Indonesia ··
https://www.bukukita.com/Non-Fiksi-Lainnya/Kisah-Nyata/81954-8-Hari-di-Negeri-Paman-Ho.html,Rp 40.000,Rp 34.000,8 Hari di Negeri Paman Ho,9786028597319,Leutika ,Juli - 2010,174,200 gr,Soft Cover,-,Kisah Nyata,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Mistery-Thriller/57999-Prince-of-Rockn-Roll-:-Sang-Pengintai.html,Rp 36.000,Rp 30.600,Prince of Rock'n Roll : Sang Pengintai,9789791602129,Jakarta Exclusive ,2006,211,180 gr,Soft Cover,-,Mistery-Thriller,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Suspense/58000-Queen-of-Violin-:-Kala-Sang-Ratu-Berbisik.html,Rp 37.000,Rp 31.450,Queen of Violin : Kala Sang Ratu Berbisik (2006),9789791602105,Jakarta Exclusive ,2006,267,250 gr,Soft Cover,-,Suspense,-,Indonesia ··
